Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testsubmit,Chrome 109.0.0.0,,,2566-01-27 18:04:12,2566-01-27 18:09:47,5m - 35.279s,FAILED
,,,,,,,
Test Cases/Login Pass,Chrome 109.0.0.0,,,2566-01-27 18:04:13,2566-01-27 18:04:29,15.750s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2566-01-27 18:04:15,2566-01-27 18:04:22,7.498s,PASSED
"navigateToUrl(""https://qar2.wolfapprove.com/"")",Chrome 109.0.0.0,,,2566-01-27 18:04:22,2566-01-27 18:04:25,2.804s,PASSED
"setText(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_username""), ""wolf01@qar2.com"")",Chrome 109.0.0.0,,,2566-01-27 18:04:25,2566-01-27 18:04:27,1.861s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_password""), ""/eWc8J9JFEG5WeA2mg7b1w=="")",Chrome 109.0.0.0,,,2566-01-27 18:04:27,2566-01-27 18:04:28,1.206s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_password""), Keys.chord(ENTER))",Chrome 109.0.0.0,,,2566-01-27 18:04:28,2566-01-27 18:04:29,0.886s,PASSED
,,,,,,,
Test Cases/Sprint1/Validation_Request_Page_Savedraft,Chrome 109.0.0.0,Check required filed,,2566-01-27 18:04:29,2566-01-27 18:05:42,1m - 12.644s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_New Request""))",Chrome 109.0.0.0,,,2566-01-27 18:04:31,2566-01-27 18:04:32,1.030s,PASSED
"setText(findTestObject(""Object Repository/Page_WOLF/input_concat(id(, , fil, , ))_fil""), ""KTL-VLD01"")",Chrome 109.0.0.0,,,2566-01-27 18:04:32,2566-01-27 18:04:34,1.288s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/p_KTL-VLD01  Validation Form""))",Chrome 109.0.0.0,,,2566-01-27 18:04:34,2566-01-27 18:05:06,32.499s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Save Draft""))",Chrome 109.0.0.0,,,2566-01-27 18:05:06,2566-01-27 18:05:09,2.969s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Confirm""))",Chrome 109.0.0.0,,,2566-01-27 18:05:09,2566-01-27 18:05:41,32.392s,PASSED
"verifyNotEqual(getUrl(), ""https://qar2.wolfapprove.com/Default"", STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2566-01-27 18:05:41,2566-01-27 18:05:42,0.279s,PASSED
"verifyEqual(getUrl(), ""https://qar2.wolfapprove.com/Request?MemoID=0&template=121"")",Chrome 109.0.0.0,,,2566-01-27 18:05:42,2566-01-27 18:05:42,0.075s,PASSED
,,,,,,,
Test Cases/Sprint1/Validation_Request_Page_Submit,Chrome 109.0.0.0,,,2566-01-27 18:05:42,2566-01-27 18:06:27,45.025s,PASSED
waitForPageLoad(5),Chrome 109.0.0.0,,,2566-01-27 18:05:44,2566-01-27 18:05:44,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Submit""))",Chrome 109.0.0.0,,,2566-01-27 18:05:44,2566-01-27 18:05:45,0.977s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Confirm""))",Chrome 109.0.0.0,,,2566-01-27 18:05:45,2566-01-27 18:05:46,0.811s,PASSED
