Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testsubmit,Chrome 109.0.0.0,,,2566-01-28 18:02:40,2566-01-28 18:23:10,20m - 29.279s,FAILED
,,,,,,,
Test Cases/Login Pass,Chrome 109.0.0.0,,,2566-01-28 18:02:41,2566-01-28 18:02:56,15.102s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2566-01-28 18:02:43,2566-01-28 18:02:51,7.907s,PASSED
"navigateToUrl(""https://qar2.wolfapprove.com/"")",Chrome 109.0.0.0,,,2566-01-28 18:02:51,2566-01-28 18:02:53,2.408s,PASSED
"setText(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_username""), ""wolf01@qar2.com"")",Chrome 109.0.0.0,,,2566-01-28 18:02:53,2566-01-28 18:02:55,1.884s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_password""), ""/eWc8J9JFEG5WeA2mg7b1w=="")",Chrome 109.0.0.0,,,2566-01-28 18:02:55,2566-01-28 18:02:56,0.898s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_password""), Keys.chord(ENTER))",Chrome 109.0.0.0,,,2566-01-28 18:02:56,2566-01-28 18:02:56,0.649s,PASSED
,,,,,,,
Test Cases/Sprint1/Validation_Request_Page_Savedraft,Chrome 109.0.0.0,Check required filed,,2566-01-28 18:02:56,2566-01-28 18:04:08,1m - 12.044s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_New Request""))",Chrome 109.0.0.0,,,2566-01-28 18:02:58,2566-01-28 18:02:59,1.565s,PASSED
"setText(findTestObject(""Object Repository/Page_WOLF/input_concat(id(, , fil, , ))_fil""), ""KTL-VLD01"")",Chrome 109.0.0.0,,,2566-01-28 18:02:59,2566-01-28 18:03:01,1.317s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/p_KTL-VLD01  Validation Form""))",Chrome 109.0.0.0,,,2566-01-28 18:03:01,2566-01-28 18:03:33,32.070s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Save Draft""))",Chrome 109.0.0.0,,,2566-01-28 18:03:33,2566-01-28 18:03:36,3.057s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Confirm""))",Chrome 109.0.0.0,,,2566-01-28 18:03:36,2566-01-28 18:04:08,32.190s,PASSED
"verifyNotEqual(getUrl(), ""https://qar2.wolfapprove.com/Default"", STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2566-01-28 18:04:08,2566-01-28 18:04:08,0.283s,PASSED
"verifyEqual(getUrl(), ""https://qar2.wolfapprove.com/Request?MemoID=0&template=121"")",Chrome 109.0.0.0,,,2566-01-28 18:04:08,2566-01-28 18:04:08,0.084s,PASSED
,,,,,,,
Test Cases/Sprint1/Validation_Request_Page_Submit,Chrome 109.0.0.0,,,2566-01-28 18:04:09,2566-01-28 18:05:22,1m - 13.144s,PASSED
waitForPageLoad(5),Chrome 109.0.0.0,,,2566-01-28 18:04:09,2566-01-28 18:04:10,0.348s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Submit""))",Chrome 109.0.0.0,,,2566-01-28 18:04:10,2566-01-28 18:04:10,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Confirm""))",Chrome 109.0.0.0,,,2566-01-28 18:04:10,2566-01-28 18:04:42,31.754s,PASSED
