Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testsubmit,Chrome 109.0.0.0,,,2566-01-27 16:29:51,2566-01-27 16:32:18,2m - 26.875s,FAILED
,,,,,,,
Test Cases/Login Pass,Chrome 109.0.0.0,,,2566-01-27 16:29:52,2566-01-27 16:30:01,8.934s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2566-01-27 16:29:53,2566-01-27 16:29:57,3.752s,PASSED
"navigateToUrl(""https://qar2.wolfapprove.com/"")",Chrome 109.0.0.0,,,2566-01-27 16:29:57,2566-01-27 16:29:58,1.810s,PASSED
"setText(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_username""), ""wolf01@qar2.com"")",Chrome 109.0.0.0,,,2566-01-27 16:29:58,2566-01-27 16:30:00,1.303s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_password""), ""/eWc8J9JFEG5WeA2mg7b1w=="")",Chrome 109.0.0.0,,,2566-01-27 16:30:00,2566-01-27 16:30:00,0.581s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_WOLF/input_Forgot Password_password""), Keys.chord(ENTER))",Chrome 109.0.0.0,,,2566-01-27 16:30:00,2566-01-27 16:30:01,0.431s,PASSED
waitForPageLoad(5),Chrome 109.0.0.0,,,2566-01-27 16:30:01,2566-01-27 16:30:01,0.265s,PASSED
,,,,,,,
Test Cases/Sprint1/Action_Submit,Chrome 109.0.0.0,,,2566-01-27 16:30:01,2566-01-27 16:31:46,1m - 45.239s,PASSED
"navigateToUrl(""https://qar2.wolfapprove.com/Default"")",Chrome 109.0.0.0,,,2566-01-27 16:30:02,2566-01-27 16:30:02,0.498s,PASSED
waitForPageLoad(5),Chrome 109.0.0.0,,,2566-01-27 16:30:02,2566-01-27 16:30:02,0.039s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/p_KTL-ACT01-2023-000004""))",Chrome 109.0.0.0,,,2566-01-27 16:30:02,2566-01-27 16:30:05,2.497s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Submit""))",Chrome 109.0.0.0,,,2566-01-27 16:30:05,2566-01-27 16:30:10,4.613s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_Confirm""))",Chrome 109.0.0.0,,,2566-01-27 16:30:10,2566-01-27 16:30:41,31.741s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/p_KTL-ACT01-2023-000004""))",Chrome 109.0.0.0,,,2566-01-27 16:30:41,2566-01-27 16:31:13,31.778s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_WOLF/span_Wait for Approve""), ""Wait for Approve"")",Chrome 109.0.0.0,,,2566-01-27 16:31:13,2566-01-27 16:31:45,31.703s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/button_History""))",Chrome 109.0.0.0,,,2566-01-27 16:31:45,2566-01-27 16:31:45,0.700s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_WOLF/span_Submitted""), ""Submitted"")",Chrome 109.0.0.0,,,2566-01-27 16:31:45,2566-01-27 16:31:46,0.679s,PASSED
,,,,,,,
Test Cases/Sprint1/Action_Approve,Chrome 109.0.0.0,,,2566-01-27 16:32:09,2566-01-27 16:32:18,9.383s,FAILED
"navigateToUrl(""https://qar2.wolfapprove.com/Default"")",Chrome 109.0.0.0,,,2566-01-27 16:32:09,2566-01-27 16:32:09,0.318s,PASSED
"click(findTestObject(""Object Repository/Page_WOLF/span_Wait for Approve""))",Chrome 109.0.0.0,,,2566-01-27 16:32:09,2566-01-27 16:32:11,2.203s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_WOLF/span__inputTextComponents-width""), ""Test Validation By Katalon"")",Chrome 109.0.0.0,,,2566-01-27 16:32:11,2566-01-27 16:32:18,6.852s,FAILED
